Message_ID,Original_Message,Transmitted_Message,Error_Correction_Applied,Corrected_Message,Encryption_Type,Encrypted_Message,Decrypted_Message,Authentication_Status,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),Target
2391,Departing Train Departing Station,Departing Train Departing Station,0,Departing Train Departing Station,HybridRSA-Blowfish,gAAAAABnlGiMHAyo6s_HpcXXaLRr1BA5WI4vEXRuWNNEAe4Qee3JlW-AcXmy5_tT3T-DI4D4G2mdUWB9JrcxJanwVuD-ZYji-q00ch18STWP2rBuVs9txViDxIW1PRh0_Ow2IS2N5oDJ,Departing Train Departing Station,Failure,14.41,1.26,57.95,98.74,Not Secure
2392,On-Time Maintenance On-Time Station Station Maintenance,On-Time Maintenance On-Time Station Station Maintenance,0,On-Time Maintenance On-Time Station Station Maintenance,RSA,gAAAAABnlGiMgXu0m3OeKfvYLbIjcOy_5j31mOzpuafcp-b7QWjkEj2qBb955QJe_NsF1GnUaX16CEZJdkrtBNgtYUi6znTlKmwsl1_VolLmW1DTz-VSJk5o1HWhUbZxwnmw0E0Mp7_9Peknu1zsYgk4yUVI-9rtmA==,On-Time Maintenance On-Time Station Station Maintenance,Success,10.9,1.26,53.14,98.74,Secure
2393,On-Time Station Maintenance Arriving Delays,On-Time Station Maintenance Arriving Delays,0,On-Time Station Maintenance Arriving Delays,HybridRSA-Blowfish,gAAAAABnlGiM-QhdTpU3ZIoA4mDmTxIGro5xkDC3NhP4efd1Ee0M3-OS3AYe6IBloa9bPxr6v99WJjz6wbnbUOqrix2CEX0Pp1t0s--GGt1cr7CYP5Gq7EiIjvZSKBGButY3qwHuft2h,On-Time Station Maintenance Arriving Delays,Failure,10.25,1.61,57.94,98.39,Not Secure
2394,Maintenance Delays Station Delays Departing,Maintenance Delays Station Delays Departing,0,Maintenance Delays Station Delays Departing,HybridRSA-Blowfish,gAAAAABnlGiM6BthwSG9MG0T2R89lGlgXyHSVHvx2haplJq7-o1XNLU37z6-LwJyd436j-NwKe9nBfo31zQt2-A521YlE65itYwWTlWehHOfWt47guifAksSXij2HsVmfnMRKMUS-HmN,Maintenance Delays Station Delays Departing,Failure,5.94,1.44,59.01,98.56,Not Secure
2395,Train Delays On-Time Arriving Station,Train Delays On-Time Arriving Station,0,Train Delays On-Time Arriving Station,Blowfish,gAAAAABnlGiMOnUDSgZgAErK476E3tz1tWXor6HdqIaFyYyfSQBcxIgG20rta-h185djhOKN5yXeN-3JQrBXzQDamYILCYy_t75KdvkQSPXaOgQonpTKo0pXivltl2XUYkgeaZ6Nugjc,Train Delays On-Time Arriving Station,Failure,8.05,1.42,58.22,98.58,Not Secure
2396,Station Departing Delays Train On-Time Arriving,Station Departing Delays Train On-Time Arriving,0,Station Departing Delays Train On-Time Arriving,Blowfish,gAAAAABnlGiMfLUA--GyHQCr0lY_T7hZnRScpmkQpmw_Frpr9-ZLF6sdJLrLFMn95bt4WoOfeFyCtoUoyOIlSGx_iuiUk34EET-pB-WF2bYZklR2z_-ZLlsFXxzz8w7oKOUKVhiSXfrL,Station Departing Delays Train On-Time Arriving,Failure,11.46,0.84,53.64,99.16,Not Secure
2397,On-Time Departing Delays Departing Departing,On-Time Departing DelayJ Departing Departing,1,On-Time Departing Delays Departing Departing,HybridRSA-Blowfish,gAAAAABnlGiMlUjcufkh2kEM9XV9rvI_8Lq0gfYQl5VD2wVTQ7S0BsMmo3m4j_B3kSeQb8pqrLoxbivUBF0xdDB5BbxfiFM0gVQxHVNIgoPQi5Xp9iPNNoG6r2Lw_B3Z_ZnHrwPOXu_Q,On-Time Departing Delays Departing Departing,Failure,12.78,1.48,54.31,98.52,Not Secure
2398,Departing Maintenance Delays Train Maintenance,Departing Maintenance Delays Train Maivtenance,1,Departing Maintenance Delays Train Maintenance,RSA,gAAAAABnlGiM9sIyx04E09UUe6roQEnrnD01_4JNhcVvayupcp34hYPYqaVEZ0Zow9bYTNOC-R0_-1zq81Dyv94mxjvwyL5F9UW7NmCXaeWqJKDxRU9zAVSVf9D86fPP8kevbYVCr8z2,Departing Maintenance Delays Train Maintenance,Failure,9.67,1.84,56.09,98.16,Not Secure
2399,On-Time Arriving Arriving Arriving On-Time Departing,On-Time Arriving Arriving Arriving On-Time Departing,0,On-Time Arriving Arriving Arriving On-Time Departing,HybridRSA-Blowfish,gAAAAABnlGiMwhfWMdEphAIMVztsdJENMBoPr-drWCoOI748UF95qayWnBQOiABzTxpPn4JCbiTI81U_0Ikc75FnclHlmiV-6PLKDj6ugscKSKn7xNWKz06_LxXsv_bskLS6JcD5DqNBviZ2XeJtPGy6o7OETsU-5g==,On-Time Arriving Arriving Arriving On-Time Departing,Success,9.81,0.93,55.15,99.07,Secure
2400,Departing Departing Station Station Departing Maintenance Arriving,Departing Departing Station Station Departing Maintenance Arriving,0,Departing Departing Station Station Departing Maintenance Arriving,RSA,gAAAAABnlGiMMm3lKdlG8RQ4IDJt3yYQjpLGXQ5FCES-sOUSM9itaIzw-pKMZxGnnx69GKnInpGMKLiWgfxS1M2TqOGqDgsuJhlZqYWVatNqsouDf0qPUdqXemicC9DmIfj3J-cGNLq64YzOOUTNKs7_BWMRjxDfWYDrJ0hKb9HsonhJEAunP2A=,Departing Departing Station Station Departing Maintenance Arriving,Failure,9.43,1.14,50.12,98.86,Not Secure
2401,Arriving Delays On-Time Arriving Train Departing Station,Arriving Delays On-Time Arriving Train Departing Station,0,Arriving Delays On-Time Arriving Train Departing Station,HybridRSA-Blowfish,gAAAAABnlGiMlXzFS4LWhH8QPzHsZqdcGSdM7VWM_Bh3_N_y34POeUxeZfDOD9WozwZmrr-6hwbdeDkbQ64eifkBd30a64nPbcOOboBowHDoLwa7QPpLPlCE8osYRyqxeDNqz6nLU4IoQe_CZn8xYc-OI3uYYNh7cQ==,Arriving Delays On-Time Arriving Train Departing Station,Success,11.38,1.56,55.8,98.44,Secure
2402,Maintenance Maintenance On-Time On-Time Station,Maintenance Maintenance On-Time On-Time Station,0,Maintenance Maintenance On-Time On-Time Station,Blowfish,gAAAAABnlGiMuRrGbdHn6vLPjcUze8QfhfH6d6t8hvUP1RzN0aRcUAHfH-MxE9u_OWI8xpLOMLJgAmOtcuYkyJO3vJvJWHSonxc7OkKTeflIf4LMPobV7qP032uMHrvpm91KQi2SleT4,Maintenance Maintenance On-Time On-Time Station,Success,8.95,0.96,58.36,99.04,Secure
2403,Maintenance Train Station Train Station,Maintenance Train Station Train Station,0,Maintenance Train Station Train Station,Blowfish,gAAAAABnlGiMHNYlLk3ZgAxczIkr_pczKYf0vHEXHOR7vTHgfhW-i7MKU8aWmLYuGqfRRFBsqRouDGGFJZgJkHhfg3WUzscpq8cuvxls1e1uZTO0a-IzxO70NQPcQDOnYcl2T5kmrRYn,Maintenance Train Station Train Station,Failure,8.64,1.65,59.26,98.35,Not Secure
2404,Departing Station Arriving On-Time,Departing Station Arriving On-Time,0,Departing Station Arriving On-Time,HybridRSA-Blowfish,gAAAAABnlGiMTXHqM4Zt01OSmopkCp7_SmHvJPztWCgSUt9bZ5oAbVoFPqx3110LrZljSMjJ59YS3tZJhlL6jSslAJYf2vsTre1yaT0kS8DJETyWd8M3yrBmcb46MzwlSW2wX4JwbmbM,Departing Station Arriving On-Time,Failure,5.75,0.14,58.77,99.86,Not Secure
2405,Maintenance Delays Arriving Station,Maintenance Delays Arriving Station,0,Maintenance Delays Arriving Station,HybridRSA-Blowfish,gAAAAABnlGiMWvoMeChWuYgYdpskwXMZQ_5DKFaEydGBxMxLeEunOm1vW_BTTsA1nPYMk6xpz4BBKlqjUXVuKcfO-o3oMZT7RnAYYjlT3k9iOEYUwybL_MHRF0lwKK0XFAqhKhBkHRZY,Maintenance Delays Arriving Station,Failure,11.22,0.27,59.43,99.73,Not Secure
2406,On-Time Delays Delays Train On-Time,On-Time Delays Delays Train On-bime,1,On-Time Delays Delays Train On-Time,RSA,gAAAAABnlGiM-uUs5TEBxUFrTo_TuJ4TU6DpAtPq9MlVxfbtpnS2s4_sdezJcIStYNo_tz6oUEzYXuHdZJVgIKYf4_qu51T2TPvaP6hg1DjulVlozqGKZI2UViKECpAvn8CPaztcaL2y,On-Time Delays Delays Train On-Time,Failure,14.19,0.25,57.73,99.75,Not Secure
2407,Departing Arriving Arriving Departing Station Station On-Time,Departing Arriving Arriving Departing Station Station On-Time,0,Departing Arriving Arriving Departing Station Station On-Time,RSA,gAAAAABnlGiMnvxABgij6xA6Gs8GEj3uTayqwQOpz41fx03bpguGhUJLRLL0pYAGTkvffEamTwJfGsN_Dw3DJvAeCTzZ-5CPuCptJ4trSRo7O8RrLs9cF7eqstiUjXSbhQssmGwLoOIFKTWqRXE6r_YmeCH57s0s3Q==,Departing Arriving Arriving Departing Station Station On-Time,Success,14.36,0.33,56.15,99.67,Secure
2408,On-Time Delays On-Time Maintenance,On-Time Delays On-Time Maintenance,0,On-Time Delays On-Time Maintenance,HybridRSA-Blowfish,gAAAAABnlGiMxWVcdJf4-tBP5GhbgK7gYGD7pMkIU0G7i_wqUuFfyIdrX--09DIDfWnPhLfqc-EDU3kRJzBMyFIri3pCPYZ9v10WMQInc5NYXNAhQAAl1tEVVGJI60GVeXnYvt4scEO3,On-Time Delays On-Time Maintenance,Success,13.48,0.58,56.23,99.42,Secure
2409,Maintenance Train Departing Station,Maintenance Train Departing Station,0,Maintenance Train Departing Station,RSA,gAAAAABnlGiMXoyaAuAMnK6PJzwgNGs4sYiYcfeEAjZkycyT3YkgfwZxkEpXyEVDiM4ld3gZST0kGTELViP65ExsTRvr3-Q9zz1QPDYrew7_AAQ6PAFgL5rMQrHuMxLpiJkMVRIzWNrX,Maintenance Train Departing Station,Success,12.95,0.98,59.65,99.02,Secure
2410,On-Time Train Departing Delays On-Time Delays Train,On-Time Train Departvng Delays On-Time Delays Train,1,On-Time Train Departing Delays On-Time Delays Train,Blowfish,gAAAAABnlGiMpQWJZwTq2WHZYgCEY_w5Hf1muS9oP8OBlMuVBZ9dq0pK5W6Ayp2Iyob-OqUkGeyMAFX6EFJ7BvydDh1zOQvxeARg0tkl_ntaTEnnwOnYeU9BaT7S_r2oqBxxWmkLXCcuw2OUW8wKp4oBhjZHrYKBOQ==,On-Time Train Departing Delays On-Time Delays Train,Failure,5.97,1.92,57.56,98.08,Not Secure
2411,Train Departing Maintenance Train Station On-Time,Train Departing Maintenance Train StatioN On-Time,1,Train Departing Maintenance Train Station On-Time,HybridRSA-Blowfish,gAAAAABnlGiM-38ns-TdEU7OSbvddm7bzyZCue-ik3jP7iT1WECmZDoa3RFtvWQDS434W0_DkkU5z018xNbCHoOGm2gsnuxExQhaOntLW-sM33JyCLiJSq2J9OqsT7WAOhyKdLi8i4tAN55tRWlICzaQng7egHz0_w==,Train Departing Maintenance Train Station On-Time,Failure,11.89,0.7,57.29,99.3,Not Secure
2412,Departing Maintenance Maintenance Departing,Departing Maintenance Maintenance Departing,0,Departing Maintenance Maintenance Departing,HybridRSA-Blowfish,gAAAAABnlGiMmLPgUGdteML8fPgRrErfaF6YsqlM7sjMGsCVpljnysV3Qm1DHRJaQ8HSHWtfvqYboJli6Me-OrzanM-bXefERvV-CDEexw3GnVBnw1F2AYmuojo4adVJv979nVPd0ueg,Departing Maintenance Maintenance Departing,Success,14.75,0.0,51.17,100.0,Secure
2413,Delays Train Maintenance On-Time,Delays TQain Maintenance On-Time,1,Delays Train Maintenance On-Time,Blowfish,gAAAAABnlGiMfcBWg6UJNgTY-G8Fd01BaAHB4UsQU2ZgP6-V58nvpFHsTGGIZXFMOTEFsCv34iDxoZ14UQCThB5c7IEh4KuvnbeCJR0E8g4KGn5XcmUw47RKI0DjjHn_1E8tRiMzpG4d,Delays Train Maintenance On-Time,Failure,11.6,1.63,53.09,98.37,Not Secure
2414,Train Station Station Station Train Station Delays,Train Station Station Station Train Station Delays,0,Train Station Station Station Train Station Delays,RSA,gAAAAABnlGiM3HzDYCBj1l4NN1Eg5pO7vAuQphd3jhC9NYtqGhTeOZXvlS9u1R4UG1R5cNrW82IHPALjxHVvAt5sB7FqHHUqZ2Po8Yonn6s721SDWEyxZwCcAPysdrPKEEkNrO5p_zFoIGC_rHvDZEe3X83zzjVgYw==,Train Station Station Station Train Station Delays,Failure,11.31,0.98,56.1,99.02,Not Secure
2415,Train Arriving Arriving Maintenance Departing On-Time Delays,Train Arriving Arriving Maintenance Departing On-Time Delays,0,Train Arriving Arriving Maintenance Departing On-Time Delays,HybridRSA-Blowfish,gAAAAABnlGiMBUYv0Hm-60MGkY6IMuYf1QEDRhXjQ907W7i_YaNtqTgp6qn3ZQA76M33pOcJWsLfZGMTP615GUGhqoV8_0xZQz8j0JPhbxEUnoCwD7aKzUebHkM-6vU7vNZ2KoakYI_2g4t4IYB-YBMKV4tuXMPnaQ==,Train Arriving Arriving Maintenance Departing On-Time Delays,Success,11.7,0.57,59.95,99.43,Secure
2416,On-Time Delays On-Time Delays Maintenance Departing Train,On-Time Delays On-Time Delays Maintenance Departing Train,0,On-Time Delays On-Time Delays Maintenance Departing Train,RSA,gAAAAABnlGiMv7wAVnZTLPU2HE8QY6uWEhKdGZcAgWipy_JLF-kDRQTlgzvkTmtnopvXSnhVKqDOzH5gFy8ncV6EMVSTnXkL6fYlpa_bQPMj-2dBiHzcx6GO23nmPyjKQYnUrUqImdfai-vnkfyZOA2ZHoroPklF5A==,On-Time Delays On-Time Delays Maintenance Departing Train,Failure,5.56,1.76,56.6,98.24,Not Secure
2417,Departing On-Time On-Time Maintenance,Departing On-Time On-Time Maintenance,0,Departing On-Time On-Time Maintenance,Blowfish,gAAAAABnlGiMi-dCCqb2Jd--Fdh6wDHBboRqw0wigouVWvpdItUUEJR5Mpoj2fRDc9NRrWEPzjd7WkF9dwOpd4tlzn_dqlHqCDvkhUMYqRxkrIF49xoxDOQt7JrwONgfT97mG2_DKdBc,Departing On-Time On-Time Maintenance,Success,7.32,1.75,52.76,98.25,Secure
2418,On-Time Train Arriving Station Train,On-Time Train Arriving Station Train,0,On-Time Train Arriving Station Train,HybridRSA-Blowfish,gAAAAABnlGiM0hANaORn5izs7MU16Yc238QEbFgWC1O__2WzWrltzuA9E47Wm9rDEnk4G_9MvZlrsAS8WyTHEoBDeWXR4mh18UhPnVYBNNOeBUgh0HklR4eT7xtp0QeTITHzUrRYr04S,On-Time Train Arriving Station Train,Success,13.98,0.12,53.47,99.88,Secure
2419,Maintenance Maintenance Maintenance Train,Maintenance Maintenance Maintenance Train,0,Maintenance Maintenance Maintenance Train,HybridRSA-Blowfish,gAAAAABnlGiMowABdsL2ac7yg9BbMOGNTmKTME3cfo4ZttbPE28b5VvT8CHAYtEMEQLEZuWv5VW8tyng8Jh5NmzV2jPE_ExNtLhTX4maWpwSm3q6XvBGeGXtorbsPCmAJPF3QNCXG1Xs,Maintenance Maintenance Maintenance Train,Success,9.45,0.46,57.64,99.54,Secure
2420,Train Train Maintenance On-Time Arriving,Train Train Maintenance On-Time Arriving,0,Train Train Maintenance On-Time Arriving,Blowfish,gAAAAABnlGiMSrIq0VEbvdjdL3m6CBCPIvxhLxv1IEKPQokIt6_-Ebg4KdUVvKDGcubP0ntbj-25VldSHzXs2_LgL-QU_n0osprN0YUnv6DlCHQheb6qB8u9mRiw38cjAChiZq1kzIqH,Train Train Maintenance On-Time Arriving,Success,7.06,1.84,53.82,98.16,Secure
2421,Maintenance Departing Train Departing Train,Maintenance Departing Train Departing Train,0,Maintenance Departing Train Departing Train,Blowfish,gAAAAABnlGiM0xr9j7ZXNmuzGdGuS6gtO8V5RxZM9GFuxcr-DBNecl4HCQuffrjC3Ka9NxmLEw8hwS1Feij17J_ikeLYrhGC5uaW4tP7smA86V8eIsM3emVqUSDupOqR2S6PVCAqlbGG,Maintenance Departing Train Departing Train,Failure,9.59,0.25,51.12,99.75,Not Secure
2422,Delays Arriving Departing On-Time Arriving,Delays Arriving Departing On-Time Arriving,0,Delays Arriving Departing On-Time Arriving,HybridRSA-Blowfish,gAAAAABnlGiMO-dAzFf6lsnsRJy3-uEKMIc4825FVk8psfVdRUNJxhLXzNtFZGJgRK4SaDsGXbsrDGOQ1PAqWO1AA6nCrRUwddl1J8SK_lgyQXwrE4DJfjZ1GKQOOOhrgCgEDMFky-4i,Delays Arriving Departing On-Time Arriving,Failure,9.07,1.07,51.96,98.93,Not Secure
2423,Delays Delays Station Train Delays Train,Delays Delays Station Train Delays Train,0,Delays Delays Station Train Delays Train,RSA,gAAAAABnlGiMQzI2m4B2xP8OnnQRQRMK7vVDZqRhH4ocefVt5NuHdxI-NF5E3VHgcz00pZFFVbHrJS6ZIiUYPzavClDrsfkUOeqlPMr6SZW8CYgFS6ohdTlQht0G67DPURbXP5MTwo66,Delays Delays Station Train Delays Train,Failure,10.45,1.01,54.26,98.99,Not Secure
2424,Train Delays Station Departing Arriving Departing Train,Train Delays Station Departing Arriving Departing Train,0,Train Delays Station Departing Arriving Departing Train,HybridRSA-Blowfish,gAAAAABnlGiM1vDn6l3_1_buWKGNBQoJoqjSBhrsQa0KFNJSxMBXAVwUT0EPApfSMRRi1agqLpsrralX2tHwh6m4HFBdIjESPJxxVV3r2zpNKu_Wq0Nmeks2wob3GSHDQyKTeoj3kAtP4sB8SrSP6gjvHiBD5DFRRQ==,Train Delays Station Departing Arriving Departing Train,Failure,10.3,1.78,50.94,98.22,Not Secure
2425,Maintenance Station Arriving Maintenance,Maintenance Station ArrivinN Maintenance,1,Maintenance Station Arriving Maintenance,RSA,gAAAAABnlGiMpGh0hGkH4LAoQQL8Y1OW5eFF-Q38FUXJI6hWOKzwWyIB9zvts_3r0LEf3P2dwwB21bzc5w2MVR_FeL-boNWU3f6-_5G8GYxQl4XVhictKtMNhoCcnXTQtBBI4qQHv6gz,Maintenance Station Arriving Maintenance,Failure,14.65,1.0,50.36,99.0,Not Secure
2426,On-Time Delays Maintenance On-Time Train On-Time,On-Time Delays Maintenance On-Time Train On-Time,0,On-Time Delays Maintenance On-Time Train On-Time,HybridRSA-Blowfish,gAAAAABnlGiMBEUidC1rZPTpf8hYdHBBcoIdfV9ESiZmNncNiSOe-y9m7V-arAdAOADpv4vJB7ga-N0NWJUABrpbZuclt2qLi9EYpM3zuLYndsWIzYo4EekwU-wOmlO11auSY6MsRpwbPT338Gtfp2fUxKaFtnEKlw==,On-Time Delays Maintenance On-Time Train On-Time,Failure,6.61,1.91,58.17,98.09,Not Secure
2427,Delays Train Station Delays,Delays Train Station Delays,0,Delays Train Station Delays,HybridRSA-Blowfish,gAAAAABnlGiMGUNhH3e7PRQTiIvJHlF3bD9Z0VC7xhhxViOGgkUHY9Q4gbQFmVTXHRTEuME_7LnrfluDjwfTvqhjqsLWc-qY7hbnVjLo76_5GEJDcUGCN10=,Delays Train Station Delays,Success,8.77,1.26,54.41,98.74,Secure
2428,Train Station Arriving Delays,Train Station Arriving Delays,0,Train Station Arriving Delays,RSA,gAAAAABnlGiM9v7zzyl3yF7nvBL3MmWDD98z060ZrPLReFPKNOj_AdSexttxgJDxDTodEuZ2XWJtPOp_QF-DpDv8kRNeP_3yCbOjSlpmiYLcx3Uy-kg8Z1Y=,Train Station Arriving Delays,Success,14.43,0.33,54.95,99.67,Secure
2429,Departing Maintenance Departing Maintenance,Departing Maintenance Departing Maintenance,0,Departing Maintenance Departing Maintenance,HybridRSA-Blowfish,gAAAAABnlGiM3oMOdYm4c9huRi0Kmn5LlyqUBiFTRtlc5u-GdHhfPN1PIJFece1BFV1vs11zAK82s6D-AE3hNoUR3SGOReF-SwAC1CBRdaE2ugODOHl9_oFWMUWJn2l4aU0xbNp8yTix,Departing Maintenance Departing Maintenance,Failure,13.15,0.23,52.78,99.77,Not Secure
2430,On-Time Arriving Arriving On-Time Train On-Time Station,On-Time Arriving Arriving On-Time Train On-Time Station,0,On-Time Arriving Arriving On-Time Train On-Time Station,Blowfish,gAAAAABnlGiMIyf_qSLzpQSLZ6JvBp07nymsvyQTKwPAvIuCVxqT8NTbJqkxbu5V53BEqFxnY7ZQvfHl_j9ta5NCqZUOmGz42OQ1o2-mTwJ0DzD3kR7Mi2iIJZbEI_yD0wgbQC9lzZFa_PyJxBUU0-Qz9RuDXqwMJw==,On-Time Arriving Arriving On-Time Train On-Time Station,Failure,6.52,1.86,50.6,98.14,Not Secure
2431,On-Time Delays Station Departing Train On-Time On-Time,On-Time Delays Station Departing Train On-Time On-Time,0,On-Time Delays Station Departing Train On-Time On-Time,RSA,gAAAAABnlGiMKLyIc1dYrXB3-J_vZ8AYFus4tcicSj7Hd4eGarEv_kaRvs1OxRWAbRfglkEFJnNs6h9LLWT2EJ9_DJ_1iChTY9k-YLqOaW2peamBJa2qbBwpStVfEz4sx2bN7iAQYsctjc19-XiGmX1lstdKT5rGmA==,On-Time Delays Station Departing Train On-Time On-Time,Success,5.51,0.58,57.71,99.42,Secure
2432,Departing Station Train Departing Delays,Departing Station Train Departing Delays,0,Departing Station Train Departing Delays,Blowfish,gAAAAABnlGiMbPV3wgzW-8VXTbzYpY6eFpAn_i_1irAL5AO1-SGQps79iS-1zn4OiMWElPE3x7EQK5BNTxq_fO6uUa6lw2CwZfEGmhROyU05epS_a4xD29B70MUBVU4sK3Ij8UpB5eW7,Departing Station Train Departing Delays,Success,14.0,1.2,54.47,98.8,Secure
2433,Maintenance Maintenance Departing Arriving Arriving On-Time,Maintenance Maintenance Departing Arriving Arriving On-Time,0,Maintenance Maintenance Departing Arriving Arriving On-Time,Blowfish,gAAAAABnlGiMwxsIjcf5NUrmejz1PzSOuNGz7jOWDVC0G3Ky7pr-M1ILg0kAB3KxAtuQUG7HY86YXtIrhSZNkJLotJ0Cu1C3Gm0s6qrx0ndHGtddXBcgfrlMnzPkRmiHz5jpCZVMZP1pRpYc3Ec36mdm5R5PwXSYKA==,Maintenance Maintenance Departing Arriving Arriving On-Time,Failure,7.71,0.96,50.97,99.04,Not Secure
2434,Maintenance Departing Station Departing Station Station,Maintenance Departing Station Departing Station Station,0,Maintenance Departing Station Departing Station Station,HybridRSA-Blowfish,gAAAAABnlGiMy3Z5jPLh7sXnZYBzQ48SMu7U7lxfPULZEELBnYZ6w86_ySuj5xoJgY428mSfLKrL8vxX2CGS-dvvjV7fuiItGPacnrSlSfliZYEPrH7h6KuE_boVAa5_umW1pxBmu_HS7UY-ifnQQJYvCt1xpsBODw==,Maintenance Departing Station Departing Station Station,Success,9.89,0.06,54.88,99.94,Secure
2435,Departing On-Time Maintenance On-Time,Departing On-Time Maintenance On-Time,0,Departing On-Time Maintenance On-Time,HybridRSA-Blowfish,gAAAAABnlGiMRQ3PBr8d_Qhee8-T2doyFb-5tlWdVor81_Bg-ocJd2n8w1eXVq7uwH5Z21ff8vOoUjeY2O5If_QCMHWDOrSuy__gug8QW35efEtew1YWfZcd3ml7qxoQYZsFr7jHt8Z0,Departing On-Time Maintenance On-Time,Success,14.52,1.4,57.4,98.6,Secure
2436,Delays Arriving Train Station Maintenance Train,Delays Arriving Train Station Maintenancl Train,1,Delays Arriving Train Station Maintenance Train,Blowfish,gAAAAABnlGiMC-_34jwv8tOaOobZG9JJO9cUbIOapiGzI95HziHIv-ftrgEDZvoiSxyRROfzCNWzjXw6tRZJokm_xSqFX8AgZbEVnICRbKDPxg_51TYKqgXCLXTjOaVcW8oOsEf0Bfqu,Delays Arriving Train Station Maintenance Train,Success,6.71,0.35,55.2,99.65,Secure
2437,Maintenance Departing Train Arriving,Maintenance Departing Train Arriving,0,Maintenance Departing Train Arriving,Blowfish,gAAAAABnlGiMN0xTxebj_5_tmZymd2yipKLc8MWHa5BbmyFy6cOvUJeh_CYXc1PuHVW23_mR1XrPgx1zyv4gfM8l2DW2TUZLrGfSf5vVIE58yw5fXuc9WA3QjUpUfJgDbWdbsG3LUYZ9,Maintenance Departing Train Arriving,Failure,7.97,1.33,51.97,98.67,Not Secure
2438,On-Time Arriving Delays Station Maintenance,On-Time Arriving Delays Station Maintenance,0,On-Time Arriving Delays Station Maintenance,Blowfish,gAAAAABnlGiMzzMWzNZQplW2udV-aessb43EXwjgXubc2s03XuioDAC6P9rzLad95UKWDFI2-tKeebHR-TZ-Umpg_VJ93Z9Apn1_3glfAJmRvoDXlVfAXk9jG8_oKGVdDxLVwC3dHI2M,On-Time Arriving Delays Station Maintenance,Success,7.34,0.58,59.64,99.42,Secure
2439,Arriving Station On-Time Train Departing,Arriving Station On-Time Train Departing,0,Arriving Station On-Time Train Departing,HybridRSA-Blowfish,gAAAAABnlGiMn7RBQB-fLAU_dML6CrJvZJwbIsXdhOP0arORj-QmQ7lUnrKfSxWDiXRsAe3YKJhm3J-STnmVf3JhS9-HF47lVcvGL0IP3O17MItvUzrMl2LlLaaI0i09PYHfqUiHeMxc,Arriving Station On-Time Train Departing,Failure,13.96,0.81,54.52,99.19,Not Secure
2440,Arriving Arriving Arriving Station Train,Arriving Arriving Arriving Station Train,0,Arriving Arriving Arriving Station Train,RSA,gAAAAABnlGiMrdwv6vzZQnoBN_KdmOCjD1y_RNp2tajQdfzJA1odol9sFuDCmvpUMjGzU8PPOXFWk8CZjkIj2-kxfLYdQ78nR-TVdwgb9gic711r17srhYMjVJZLGG0n7DjrZYJxZRgy,Arriving Arriving Arriving Station Train,Failure,13.47,1.15,53.26,98.85,Not Secure
2441,Delays Departing Delays Train,Delays Departing Delays Train,0,Delays Departing Delays Train,Blowfish,gAAAAABnlGiM5U7C8uSKCEggjsPkTaJkARyOC-EEko673T5-Y1hDfEhPeSegPK8ajs_O3Ci2PV1c-5p--ZUn9et6-UOC-hIz8EKXKKubHusNXxRw0GlsD4U=,Delays Departing Delays Train,Failure,5.23,0.19,55.01,99.81,Not Secure
2442,Station Station On-Time On-Time,Station Station On-Time On-Time,0,Station Station On-Time On-Time,RSA,gAAAAABnlGiMAYcoYMduQN4doMJpr7c0HbDfNDTDhJHu6yd93bAzYrpE7MPez_I0TG7BzdwbuqYBOlyoxzZLN_k_-iF2AJrRfj4fQbuE0Awj0IayQrOrNvg=,Station Station On-Time On-Time,Success,14.01,1.44,55.87,98.56,Secure
2443,Station Train Arriving Maintenance On-Time Maintenance Delays,Station TrainNArriving Maintenance On-Time Maintenance Delays,1,Station Train Arriving Maintenance On-Time Maintenance Delays,RSA,gAAAAABnlGiMRpvV--hCs56N5yhc0_WdgO7zUCtH10n0ngdEA2yZVR0TGpXEpbGyreyMp-2wu6sKTG37FaMGOJpK7HE4OUjtuLkCWmVlQtpSOBYw7CqPj0firEXWeLQILzfiAXsmR5VuP_gMBXN9JwrobDfPs7zdiA==,Station Train Arriving Maintenance On-Time Maintenance Delays,Failure,5.7,2.0,52.32,98.0,Not Secure
2444,On-Time Train On-Time On-Time Train On-Time Delays,On-Time Train On-Time On-Time Train On-Time Delays,0,On-Time Train On-Time On-Time Train On-Time Delays,RSA,gAAAAABnlGiM7oS4JfNz0jwlvOJYGQaxjO2sYppb9us2qLfDNG3j7PAjgeHiNGX97To0mllp388QNPCNgcRLsIf_MFvHBtGl8KBjALk1SsoDfS3eQn2WukTtsOxIEkPez-yru9ufLwQe9cT-nBvGAP1I4oynSoVPzA==,On-Time Train On-Time On-Time Train On-Time Delays,Failure,13.88,0.58,59.08,99.42,Not Secure
2445,Station Arriving Departing Delays,Station Arriving DepartingkDelays,1,Station Arriving Departing Delays,HybridRSA-Blowfish,gAAAAABnlGiMYPXLBaCgYmCxJDwLo88ZL-Nhay8DYHZ8_0DsQrJXZvXrD1YLi88vjbdYsdKPrv7QKwyYSBQGaaos9Fz61QbYo-VF0wSLkHO5vplpYGeX3YSYjDAfUDDWC3_3KQ1BTzM3,Station Arriving Departing Delays,Success,13.95,1.7,50.08,98.3,Secure
