Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
2043,1,7.28,1.72,56.62,98.28,train train departing departing station delay,train train departang departing station delay,train train departing departing station delay,rsa,,train train departing departing station delay,failure,Not Secure
2044,0,14.91,0.37,55.13,99.63,departing maintenance maintenance maintenance arriving delay,departing maintenance maintenance maintenance arriving delay,departing maintenance maintenance maintenance arriving delay,blowfish,,departing maintenance maintenance maintenance arriving delay,success,Secure
2045,0,9.88,1.63,51.07,98.37,departing maintenance delay train delay,departing maintenance delay train delay,departing maintenance delay train delay,blowfish,,departing maintenance delay train delay,success,Secure
2046,0,11.9,0.83,52.25,99.17,station train station departing maintenance arriving,station train station departing maintenance arriving,station train station departing maintenance arriving,blowfish,,station train station departing maintenance arriving,success,Secure
2047,1,10.57,2.0,55.09,98.0,arriving delay,arriving yelays,arriving delay,,,arriving delay,failure,Not Secure
2048,1,11.7,1.86,50.11,98.14,station station station train departing,station station station train yeparting,station station station train departing,rsa,,station station station train departing,failure,Not Secure
2049,0,9.41,1.85,54.89,98.15,departing station departing maintenance arriving train train,departing station departing maintenance arriving train train,departing station departing maintenance arriving train train,,,departing station departing maintenance arriving train train,success,Secure
2050,0,12.75,0.15,56.1,99.85,departing station arriving,departing station arriving,departing station arriving,rsa,,departing station arriving,success,Secure
2051,1,11.28,1.11,53.05,98.89,delay maintenance arriving maintenance delay,delay maintenance arriving maintenance delay,delay maintenance arriving maintenance delay,blowfish,,delay maintenance arriving maintenance delay,failure,Not Secure
2052,0,7.46,0.72,53.44,99.28,departing arriving maintenance maintenance,departing arriving maintenance maintenance,departing arriving maintenance maintenance,,,departing arriving maintenance maintenance,success,Secure
2053,0,14.21,1.73,58.92,98.27,station train train maintenance departing,station train train maintenance departing,station train train maintenance departing,,,station train train maintenance departing,success,Secure
2054,0,14.56,0.66,55.47,99.34,departing station train arriving,departing station train arriving,departing station train arriving,rsa,,departing station train arriving,failure,Not Secure
2055,1,9.4,0.66,59.46,99.34,maintenance delay station delay departing,maintenance delay station delay dqparting,maintenance delay station delay departing,rsa,,maintenance delay station delay departing,failure,Not Secure
2056,0,13.35,1.2,51.73,98.8,station station train train departing station,station station train train departing station,station station train train departing station,rsa,,station station train train departing station,success,Secure
2057,0,6.69,1.05,54.32,98.95,delay station departing delay,delay station departing delay,delay station departing delay,blowfish,,delay station departing delay,success,Secure
2058,0,10.75,1.77,50.84,98.23,delay maintenance train,delay maintenance train,delay maintenance train,rsa,,delay maintenance train,failure,Not Secure
2059,0,9.18,0.22,51.88,99.78,departing departing arriving delay delay delay,departing departing arriving delay delay delay,departing departing arriving delay delay delay,,,departing departing arriving delay delay delay,failure,Not Secure
2060,1,14.89,0.86,51.16,99.14,arriving arriving maintenance maintenance,arriving arriving maintenance maintvnance,arriving arriving maintenance maintenance,rsa,,arriving arriving maintenance maintenance,success,Secure
2061,0,7.65,0.6,58.52,99.4,station train delay departing arriving arriving maintenance,station train delay departing arriving arriving maintenance,station train delay departing arriving arriving maintenance,,,station train delay departing arriving arriving maintenance,failure,Not Secure
2062,0,11.74,1.49,59.01,98.51,delay train departing delay arriving departing,delay train departing delay arriving departing,delay train departing delay arriving departing,blowfish,,delay train departing delay arriving departing,success,Secure
2063,1,8.89,0.39,56.96,99.61,delay arriving delay,delay arriving delay onatime,delay arriving delay,,,delay arriving delay,success,Secure
2064,0,12.01,1.88,55.13,98.12,train arriving delay train maintenance maintenance,train arriving delay train maintenance maintenance,train arriving delay train maintenance maintenance,blowfish,,train arriving delay train maintenance maintenance,failure,Not Secure
2065,0,9.82,0.37,51.22,99.63,departing train arriving train,departing train arriving train,departing train arriving train,blowfish,,departing train arriving train,success,Secure
2066,0,8.63,0.26,53.8,99.74,train departing departing,train departing departing,train departing departing,blowfish,,train departing departing,failure,Not Secure
2067,1,6.41,0.12,52.97,99.88,train delay maintenance maintenance train,traio delay maintenance maintenance train,train delay maintenance maintenance train,blowfish,,train delay maintenance maintenance train,failure,Not Secure
2068,1,13.68,1.63,59.56,98.37,train arriving arriving arriving arriving maintenance,train arrivigg arriving arriving arriving maintenance,train arriving arriving arriving arriving maintenance,rsa,,train arriving arriving arriving arriving maintenance,success,Secure
2069,0,7.05,0.29,55.33,99.71,maintenance maintenance delay maintenance station departing maintenance,maintenance maintenance delay maintenance station departing maintenance,maintenance maintenance delay maintenance station departing maintenance,,,maintenance maintenance delay maintenance station departing maintenance,failure,Not Secure
2070,0,12.07,1.18,59.11,98.82,station station station arriving departing station departing,station station station arriving departing station departing,station station station arriving departing station departing,rsa,,station station station arriving departing station departing,success,Secure
2071,0,12.98,0.17,55.75,99.83,train departing departing arriving,train departing departing arriving,train departing departing arriving,,,train departing departing arriving,success,Secure
2072,0,7.09,0.02,57.65,99.98,departing train arriving station delay station,departing train arriving station delay station,departing train arriving station delay station,,,departing train arriving station delay station,failure,Not Secure
2073,0,13.72,0.61,56.09,99.39,departing train delay maintenance station,departing train delay maintenance station,departing train delay maintenance station,rsa,,departing train delay maintenance station,success,Secure
2074,0,12.47,0.7,52.18,99.3,departing arriving departing departing maintenance station,departing arriving departing departing maintenance station,departing arriving departing departing maintenance station,,,departing arriving departing departing maintenance station,success,Secure
2075,0,10.75,1.53,54.73,98.47,train departing arriving train,train departing arriving train,train departing arriving train,,,train departing arriving train,success,Secure
2076,1,10.5,0.99,58.26,99.01,departing departing arriving station station,departing departing arriving station station,departing departing arriving station station,blowfish,gaaaaabnlgilq0wlnyz,departing departing arriving station station,failure,Not Secure
2077,0,6.55,0.63,55.12,99.37,station delay station station arriving arriving,station delay station station arriving arriving,station delay station station arriving arriving,,,station delay station station arriving arriving,success,Secure
2078,1,8.37,0.51,56.75,99.49,arriving train arriving,arriving train arrivinz,arriving train arriving,,,arriving train arriving,success,Secure
2079,0,11.2,0.81,51.96,99.19,maintenance arriving train,maintenance arriving train,maintenance arriving train,blowfish,,maintenance arriving train,failure,Not Secure
2080,0,9.43,0.74,52.18,99.26,departing arriving train train,departing arriving train train,departing arriving train train,blowfish,,departing arriving train train,success,Secure
2081,0,14.25,1.81,55.03,98.19,arriving departing train station station maintenance delay,arriving departing train station station maintenance delay,arriving departing train station station maintenance delay,blowfish,,arriving departing train station station maintenance delay,success,Secure
2082,0,14.05,1.84,52.4,98.16,maintenance arriving delay station station departing,maintenance arriving delay station station departing,maintenance arriving delay station station departing,blowfish,,maintenance arriving delay station station departing,success,Secure
2083,0,8.82,0.5,55.28,99.5,arriving maintenance arriving maintenance train train,arriving maintenance arriving maintenance train train,arriving maintenance arriving maintenance train train,,,arriving maintenance arriving maintenance train train,failure,Not Secure
2084,0,6.49,1.51,55.21,98.49,departing delay delay,departing delay delay,departing delay delay,,,departing delay delay,failure,Not Secure
2085,0,14.91,1.89,56.66,98.11,delay delay arriving station station,delay delay arriving station station,delay delay arriving station station,blowfish,,delay delay arriving station station,success,Secure
2086,0,9.75,0.26,53.85,99.74,train station station station station departing,train station station station station departing,train station station station station departing,blowfish,,train station station station station departing,success,Secure
2087,1,12.29,0.2,52.56,99.8,delay station maintenance arriving train delay,delay station maintenance arriving tkain delay,delay station maintenance arriving train delay,,,delay station maintenance arriving train delay,success,Secure
2088,0,9.62,0.17,58.68,99.83,station arriving delay maintenance departing delay,station arriving delay maintenance departing delay,station arriving delay maintenance departing delay,rsa,,station arriving delay maintenance departing delay,success,Secure
2089,0,13.76,1.31,52.01,98.69,delay train train departing departing,delay train train departing departing,delay train train departing departing,blowfish,,delay train train departing departing,success,Secure
2090,0,10.24,0.42,56.92,99.58,arriving delay arriving arriving departing,arriving delay arriving arriving departing,arriving delay arriving arriving departing,blowfish,,arriving delay arriving arriving departing,failure,Not Secure
2091,0,11.07,1.03,55.16,98.97,delay delay departing station arriving,delay delay departing station arriving,delay delay departing station arriving,,,delay delay departing station arriving,success,Secure
2092,0,8.64,0.93,51.02,99.07,maintenance arriving station station delay train,maintenance arriving station station delay train,maintenance arriving station station delay train,blowfish,,maintenance arriving station station delay train,failure,Not Secure
2093,0,13.99,1.52,55.87,98.48,maintenance delay departing train,maintenance delay departing train,maintenance delay departing train,,,maintenance delay departing train,failure,Not Secure
2094,0,7.64,0.56,54.94,99.44,arriving station train maintenance station arriving,arriving station train maintenance station arriving,arriving station train maintenance station arriving,,,arriving station train maintenance station arriving,failure,Not Secure
2095,1,5.34,0.81,53.5,99.19,delay train arriving train arriving,delay train arriving train arriving,delay train arriving train arriving,,,delay train arriving train arriving,failure,Not Secure
2096,0,13.82,1.03,54.13,98.97,departing delay station arriving,departing delay station arriving,departing delay station arriving,blowfish,,departing delay station arriving,failure,Not Secure
2097,0,9.29,1.12,53.74,98.88,station maintenance arriving,station maintenance arriving,station maintenance arriving,blowfish,,station maintenance arriving,success,Secure
2098,1,11.37,0.8,56.03,99.2,arriving maintenance station,arriving maintenance station,arriving maintenance station,rsa,,arriving maintenance station,success,Secure
2099,0,12.97,1.58,55.82,98.42,train,train,train,,,train,failure,Not Secure
2100,0,10.61,1.37,55.8,98.63,station maintenance maintenance station station,station maintenance maintenance station station,station maintenance maintenance station station,rsa,,station maintenance maintenance station station,failure,Not Secure
2101,1,11.46,0.29,57.11,99.71,departing arriving maintenance,departing arriving maintenance,departing arriving maintenance,,,departing arriving maintenance,failure,Not Secure
2102,0,14.24,0.46,57.79,99.54,train maintenance delay,train maintenance delay,train maintenance delay,blowfish,,train maintenance delay,success,Secure
2103,0,12.29,1.22,55.66,98.78,delay maintenance train delay,delay maintenance train delay,delay maintenance train delay,,,delay maintenance train delay,failure,Not Secure
2104,1,10.4,0.39,52.5,99.61,arriving maintenance maintenance train,arriking maintenance maintenance train,arriving maintenance maintenance train,blowfish,,arriving maintenance maintenance train,failure,Not Secure
2105,0,10.17,0.74,52.76,99.26,maintenance maintenance arriving departing train,maintenance maintenance arriving departing train,maintenance maintenance arriving departing train,blowfish,,maintenance maintenance arriving departing train,success,Secure
2106,1,14.98,0.63,51.43,99.37,delay departing departing,delay departing dnparting,delay departing departing,,gaaaaabnlgilqcscpkiekzlvblsmp8eq95cphedpipjvk2pxzqqtythtpd79svxehgav78v89tqgp6eoio9uwt0gkhmf0rgubgfla96sxipeggsfjhqw5wfb4mqwrzjf5ua30kvfzrxm,delay departing departing,success,Secure
2107,0,8.72,1.94,54.36,98.06,maintenance train arriving,maintenance train arriving,maintenance train arriving,rsa,,maintenance train arriving,failure,Not Secure
2108,0,9.73,1.52,58.94,98.48,departing delay train arriving maintenance arriving maintenance,departing delay train arriving maintenance arriving maintenance,departing delay train arriving maintenance arriving maintenance,blowfish,,departing delay train arriving maintenance arriving maintenance,failure,Not Secure
2109,0,5.39,0.02,55.0,99.98,arriving maintenance maintenance station station,arriving maintenance maintenance station station,arriving maintenance maintenance station station,,,arriving maintenance maintenance station station,success,Secure
2110,1,7.54,1.51,51.22,98.49,delay departing maintenance train train,delay departing mainteiance train train,delay departing maintenance train train,,,delay departing maintenance train train,success,Secure
2111,0,14.86,0.25,51.56,99.75,delay train station station station,delay train station station station,delay train station station station,,,delay train station station station,success,Secure
2112,0,10.0,1.19,54.45,98.81,arriving arriving maintenance departing train maintenance,arriving arriving maintenance departing train maintenance,arriving arriving maintenance departing train maintenance,blowfish,,arriving arriving maintenance departing train maintenance,success,Secure
2113,0,8.37,0.02,55.62,99.98,delay delay departing arriving delay,delay delay departing arriving delay,delay delay departing arriving delay,,,delay delay departing arriving delay,failure,Not Secure
2114,0,12.53,0.1,52.37,99.9,train station arriving arriving maintenance arriving,train station arriving arriving maintenance arriving,train station arriving arriving maintenance arriving,rsa,,train station arriving arriving maintenance arriving,failure,Not Secure
2115,0,14.46,1.64,56.06,98.36,station arriving station maintenance,station arriving station maintenance,station arriving station maintenance,blowfish,,station arriving station maintenance,success,Secure
2116,1,12.65,0.64,55.42,99.36,delay departing arriving arriving,delay departing arriving arriving,delay departing arriving arriving,blowfish,,delay departing arriving arriving,success,Secure
2117,0,5.36,1.99,56.06,98.01,maintenance maintenance maintenance,maintenance maintenance maintenance,maintenance maintenance maintenance,rsa,,maintenance maintenance maintenance,success,Secure
2118,0,6.79,0.82,55.33,99.18,arriving train station train delay departing,arriving train station train delay departing,arriving train station train delay departing,rsa,,arriving train station train delay departing,success,Secure
2119,0,7.82,0.48,50.91,99.52,arriving maintenance station station arriving maintenance train,arriving maintenance station station arriving maintenance train,arriving maintenance station station arriving maintenance train,blowfish,,arriving maintenance station station arriving maintenance train,failure,Not Secure
2120,0,7.49,1.68,54.9,98.32,train delay train delay,train delay train delay,train delay train delay,rsa,,train delay train delay,success,Secure
2121,0,14.48,0.29,53.55,99.71,maintenance maintenance maintenance delay,maintenance maintenance maintenance delay,maintenance maintenance maintenance delay,rsa,,maintenance maintenance maintenance delay,success,Secure
2122,0,12.61,0.76,50.86,99.24,station departing departing maintenance delay,station departing departing maintenance delay,station departing departing maintenance delay,blowfish,,station departing departing maintenance delay,failure,Not Secure
2123,0,10.03,0.59,50.85,99.41,arriving arriving delay delay station,arriving arriving delay delay station,arriving arriving delay delay station,,,arriving arriving delay delay station,success,Secure
2124,0,5.03,0.73,58.95,99.27,station arriving maintenance departing,station arriving maintenance departing,station arriving maintenance departing,rsa,,station arriving maintenance departing,success,Secure
2125,0,9.37,1.54,50.84,98.46,train train train departing,train train train departing,train train train departing,,,train train train departing,failure,Not Secure
2126,0,6.89,0.73,59.46,99.27,station station maintenance station,station station maintenance station,station station maintenance station,blowfish,,station station maintenance station,success,Secure
2127,1,7.04,1.62,50.75,98.38,departing departing arriving departing maintenance,departing departing arriving departing maintenance,departing departing arriving departing maintenance,blowfish,,departing departing arriving departing maintenance,success,Secure
2128,0,13.08,0.21,55.46,99.79,departing train delay departing station delay,departing train delay departing station delay,departing train delay departing station delay,blowfish,,departing train delay departing station delay,failure,Not Secure
2129,0,14.92,1.93,53.75,98.07,departing delay station delay departing,departing delay station delay departing,departing delay station delay departing,blowfish,,departing delay station delay departing,failure,Not Secure
2130,0,12.41,0.73,55.5,99.27,departing train delay departing arriving,departing train delay departing arriving,departing train delay departing arriving,rsa,,departing train delay departing arriving,failure,Not Secure
2131,0,10.09,0.27,58.42,99.73,station station maintenance train,station station maintenance train,station station maintenance train,blowfish,,station station maintenance train,failure,Not Secure
2132,0,6.0,1.39,55.57,98.61,station train delay station,station train delay station,station train delay station,rsa,,station train delay station,success,Secure
2133,0,9.71,1.63,51.52,98.37,arriving delay maintenance maintenance arriving departing,arriving delay maintenance maintenance arriving departing,arriving delay maintenance maintenance arriving departing,rsa,,arriving delay maintenance maintenance arriving departing,success,Secure
2134,1,7.28,1.32,55.41,98.68,arriving maintenance train delay,arriving maintenance train deljys,arriving maintenance train delay,blowfish,,arriving maintenance train delay,failure,Not Secure
2135,0,13.81,0.43,55.27,99.57,train arriving arriving departing station,train arriving arriving departing station,train arriving arriving departing station,blowfish,,train arriving arriving departing station,failure,Not Secure
2136,1,6.52,1.46,51.84,98.54,station arriving delay maintenance departing,statnon arriving delay maintenance departing,station arriving delay maintenance departing,,,station arriving delay maintenance departing,failure,Not Secure
2137,0,14.47,1.79,54.06,98.21,station departing delay maintenance maintenance,station departing delay maintenance maintenance,station departing delay maintenance maintenance,blowfish,,station departing delay maintenance maintenance,success,Secure
2138,1,7.59,0.67,50.56,99.33,departing departing delay arriving departing departing,departing departing delay arrivizg departing departing,departing departing delay arriving departing departing,,,departing departing delay arriving departing departing,failure,Not Secure
2139,0,14.1,0.56,59.58,99.44,arriving departing delay,arriving departing delay,arriving departing delay,,,arriving departing delay,failure,Not Secure
2140,1,14.86,0.68,54.07,99.32,departing station departing delay maintenance,departing statiob departing delay maintenance,departing station departing delay maintenance,blowfish,,departing station departing delay maintenance,success,Secure
2141,0,10.66,1.79,58.04,98.21,arriving station departing train station maintenance,arriving station departing train station maintenance,arriving station departing train station maintenance,rsa,,arriving station departing train station maintenance,success,Secure
2142,0,11.45,0.55,54.92,99.45,arriving departing,arriving departing,arriving departing,blowfish,,arriving departing,success,Secure
2143,0,14.79,1.65,51.95,98.35,departing train train,departing train train,departing train train,rsa,,departing train train,failure,Not Secure
2144,0,11.11,0.69,50.5,99.31,departing delay arriving,departing delay arriving,departing delay arriving,rsa,,departing delay arriving,failure,Not Secure
2145,0,10.89,1.82,58.11,98.18,train station train,train station train,train station train,blowfish,,train station train,success,Secure
2146,0,10.77,0.27,56.39,99.73,station train delay maintenance departing,station train delay maintenance departing,station train delay maintenance departing,blowfish,,station train delay maintenance departing,failure,Not Secure
2147,0,5.06,1.35,59.6,98.65,train arriving departing departing,train arriving departing departing,train arriving departing departing,,,train arriving departing departing,failure,Not Secure
2148,1,13.26,1.14,55.11,98.86,train station departing,train station departing,train station departing,,,train station departing,failure,Not Secure
2149,1,5.6,0.1,53.92,99.9,train arriving departing arriving maintenance,train arriving departing arrivyng maintenance,train arriving departing arriving maintenance,blowfish,,train arriving departing arriving maintenance,failure,Not Secure
2150,0,12.66,1.06,54.65,98.94,delay departing delay,delay departing delay,delay departing delay,blowfish,,delay departing delay,failure,Not Secure
2151,0,11.51,0.46,56.49,99.54,train departing train train train,train departing train train train,train departing train train train,rsa,,train departing train train train,success,Secure
2152,1,11.36,0.21,57.85,99.79,station departing train maintenance maintenance,station train maintenance maintenance,station departing train maintenance maintenance,rsa,,station departing train maintenance maintenance,success,Secure
2153,0,8.3,0.11,57.44,99.89,train departing maintenance departing delay,train departing maintenance departing delay,train departing maintenance departing delay,rsa,,train departing maintenance departing delay,failure,Not Secure
2154,0,5.15,1.5,57.13,98.5,maintenance delay maintenance delay delay,maintenance delay maintenance delay delay,maintenance delay maintenance delay delay,blowfish,,maintenance delay maintenance delay delay,failure,Not Secure
2155,0,7.04,1.67,56.92,98.33,departing station departing delay train,departing station departing delay train,departing station departing delay train,,,departing station departing delay train,success,Secure
2156,0,6.53,1.82,56.1,98.18,delay maintenance arriving maintenance arriving,delay maintenance arriving maintenance arriving,delay maintenance arriving maintenance arriving,rsa,,delay maintenance arriving maintenance arriving,failure,Not Secure
2157,0,11.85,0.2,56.88,99.8,maintenance maintenance train arriving delay delay,maintenance maintenance train arriving delay delay,maintenance maintenance train arriving delay delay,rsa,,maintenance maintenance train arriving delay delay,success,Secure
2158,1,11.2,0.51,51.16,99.49,arriving delay delay station delay delay,arrivibg delay delay station delay delay,arriving delay delay station delay delay,rsa,,arriving delay delay station delay delay,failure,Not Secure
2159,0,9.9,1.82,57.34,98.18,train arriving maintenance maintenance train arriving delay,train arriving maintenance maintenance train arriving delay,train arriving maintenance maintenance train arriving delay,rsa,,train arriving maintenance maintenance train arriving delay,failure,Not Secure
2160,0,7.65,0.97,52.23,99.03,arriving train departing train arriving,arriving train departing train arriving,arriving train departing train arriving,blowfish,,arriving train departing train arriving,success,Secure
2161,0,7.42,1.75,58.08,98.25,departing maintenance maintenance train departing,departing maintenance maintenance train departing,departing maintenance maintenance train departing,,,departing maintenance maintenance train departing,failure,Not Secure
2162,0,8.14,0.11,53.56,99.89,departing train train delay,departing train train delay,departing train train delay,,,departing train train delay,failure,Not Secure
2163,0,7.39,1.48,53.92,98.52,arriving delay delay train station station,arriving delay delay train station station,arriving delay delay train station station,blowfish,,arriving delay delay train station station,failure,Not Secure
2164,0,8.17,1.34,59.92,98.66,delay delay arriving delay delay train,delay delay arriving delay delay train,delay delay arriving delay delay train,rsa,,delay delay arriving delay delay train,failure,Not Secure
2165,1,8.96,0.06,57.18,99.94,train station arriving maintenance,train station arriving mailtenance,train station arriving maintenance,rsa,,train station arriving maintenance,success,Secure
2166,0,13.07,1.79,51.62,98.21,arriving delay station station,arriving delay station station,arriving delay station station,,,arriving delay station station,failure,Not Secure
2167,0,12.2,0.31,51.59,99.69,maintenance arriving station train arriving station,maintenance arriving station train arriving station,maintenance arriving station train arriving station,rsa,,maintenance arriving station train arriving station,success,Secure
2168,0,9.7,0.25,51.26,99.75,train station train train station delay maintenance,train station train train station delay maintenance,train station train train station delay maintenance,,,train station train train station delay maintenance,success,Secure
2169,0,7.26,1.32,52.06,98.68,departing departing delay arriving,departing departing delay arriving,departing departing delay arriving,rsa,,departing departing delay arriving,success,Secure
2170,0,13.05,1.27,53.82,98.73,arriving delay delay station train,arriving delay delay station train,arriving delay delay station train,,,arriving delay delay station train,success,Secure
2171,0,9.64,0.63,54.2,99.37,maintenance arriving departing departing delay,maintenance arriving departing departing delay,maintenance arriving departing departing delay,,,maintenance arriving departing departing delay,failure,Not Secure
2172,0,14.55,1.85,51.53,98.15,maintenance maintenance arriving arriving arriving maintenance,maintenance maintenance arriving arriving arriving maintenance,maintenance maintenance arriving arriving arriving maintenance,rsa,,maintenance maintenance arriving arriving arriving maintenance,failure,Not Secure
2173,0,14.81,0.58,54.1,99.42,train train station arriving arriving station arriving,train train station arriving arriving station arriving,train train station arriving arriving station arriving,,,train train station arriving arriving station arriving,success,Secure
2174,0,13.42,1.29,52.79,98.71,delay station delay,delay station delay,delay station delay,,,delay station delay,success,Secure
2175,0,13.49,0.14,50.26,99.86,train delay station,train delay station,train delay station,rsa,,train delay station,failure,Not Secure
2176,0,9.55,0.77,59.16,99.23,train train delay delay,train train delay delay,train train delay delay,,,train train delay delay,failure,Not Secure
2177,0,14.75,0.01,50.77,99.99,arriving maintenance station arriving,arriving maintenance station arriving,arriving maintenance station arriving,blowfish,,arriving maintenance station arriving,success,Secure
2178,0,9.98,0.61,54.41,99.39,train station departing arriving station,train station departing arriving station,train station departing arriving station,blowfish,,train station departing arriving station,success,Secure
2179,0,6.78,0.5,54.37,99.5,departing maintenance departing delay,departing maintenance departing delay,departing maintenance departing delay,blowfish,,departing maintenance departing delay,success,Secure
2180,0,10.0,0.69,53.83,99.31,station departing delay arriving,station departing delay arriving,station departing delay arriving,rsa,,station departing delay arriving,failure,Not Secure
2181,0,14.4,1.15,54.58,98.85,arriving arriving station station station,arriving arriving station station station,arriving arriving station station station,blowfish,,arriving arriving station station station,success,Secure
2182,0,14.12,0.08,54.05,99.92,departing delay delay departing delay arriving,departing delay delay departing delay arriving,departing delay delay departing delay arriving,,,departing delay delay departing delay arriving,success,Secure
2183,0,5.31,1.02,54.11,98.98,maintenance delay maintenance delay,maintenance delay maintenance delay,maintenance delay maintenance delay,,,maintenance delay maintenance delay,success,Secure
2184,0,9.08,1.04,51.61,98.96,maintenance delay station departing train arriving,maintenance delay station departing train arriving,maintenance delay station departing train arriving,blowfish,,maintenance delay station departing train arriving,success,Secure
2185,0,6.12,0.23,54.54,99.77,arriving train delay arriving,arriving train delay arriving,arriving train delay arriving,blowfish,,arriving train delay arriving,success,Secure
2186,1,9.9,0.53,59.06,99.47,delay station arriving,delay station arrzving,delay station arriving,blowfish,,delay station arriving,success,Secure
2187,0,14.88,1.45,56.89,98.55,train train arriving arriving arriving delay,train train arriving arriving arriving delay,train train arriving arriving arriving delay,blowfish,,train train arriving arriving arriving delay,success,Secure
2188,1,8.45,0.51,51.16,99.49,arriving maintenance delay,arriving maintenancx delay,arriving maintenance delay,rsa,,arriving maintenance delay,failure,Not Secure
2189,0,11.81,1.66,55.76,98.34,station train arriving train train,station train arriving train train,station train arriving train train,rsa,,station train arriving train train,success,Secure
2190,0,10.0,1.36,54.21,98.64,train departing train station arriving train,train departing train station arriving train,train departing train station arriving train,rsa,,train departing train station arriving train,success,Secure
2191,1,11.57,0.21,59.3,99.79,train departing arriving train train maintenance,train depmrting arriving train train maintenance,train departing arriving train train maintenance,blowfish,,train departing arriving train train maintenance,success,Secure
2192,0,6.07,0.7,58.48,99.3,maintenance arriving station arriving maintenance,maintenance arriving station arriving maintenance,maintenance arriving station arriving maintenance,,,maintenance arriving station arriving maintenance,failure,Not Secure
2193,1,9.85,0.2,55.79,99.8,maintenance train arriving maintenance,maintenance train arriving maintenance,maintenance train arriving maintenance,blowfish,,maintenance train arriving maintenance,success,Secure
2194,0,9.96,0.97,53.75,99.03,maintenance maintenance arriving station,maintenance maintenance arriving station,maintenance maintenance arriving station,,,maintenance maintenance arriving station,failure,Not Secure
2195,0,5.27,1.96,52.57,98.04,departing departing delay arriving,departing departing delay arriving,departing departing delay arriving,rsa,,departing departing delay arriving,failure,Not Secure
2196,1,12.03,0.17,53.28,99.83,train delay delay delay,tryin delay delay delay,train delay delay delay,,,train delay delay delay,failure,Not Secure
2197,0,14.97,0.57,54.03,99.43,departing delay maintenance station,departing delay maintenance station,departing delay maintenance station,,,departing delay maintenance station,failure,Not Secure
2198,0,7.34,1.93,59.51,98.07,maintenance maintenance station,maintenance maintenance station,maintenance maintenance station,blowfish,,maintenance maintenance station,success,Secure
2199,1,14.37,0.79,50.9,99.21,station maintenance,station maintenance,station maintenance,,,station maintenance,failure,Not Secure
2200,0,8.43,0.24,52.87,99.76,departing maintenance delay delay departing,departing maintenance delay delay departing,departing maintenance delay delay departing,,,departing maintenance delay delay departing,failure,Not Secure
2201,0,10.03,0.11,59.97,99.89,departing maintenance station arriving departing station train,departing maintenance station arriving departing station train,departing maintenance station arriving departing station train,,,departing maintenance station arriving departing station train,success,Secure
2202,0,13.19,0.55,53.15,99.45,departing station arriving train train delay,departing station arriving train train delay,departing station arriving train train delay,rsa,,departing station arriving train train delay,success,Secure
2203,0,13.76,0.33,57.42,99.67,station departing departing station maintenance train delay,station departing departing station maintenance train delay,station departing departing station maintenance train delay,blowfish,,station departing departing station maintenance train delay,success,Secure
2204,0,11.91,1.24,57.74,98.76,station departing arriving maintenance,station departing arriving maintenance,station departing arriving maintenance,blowfish,,station departing arriving maintenance,success,Secure
2205,0,14.73,1.91,56.69,98.09,arriving delay arriving station,arriving delay arriving station,arriving delay arriving station,,,arriving delay arriving station,failure,Not Secure
2206,0,10.48,0.4,54.48,99.6,arriving delay train delay,arriving delay train delay,arriving delay train delay,blowfish,,arriving delay train delay,success,Secure
2207,0,9.5,1.56,54.9,98.44,departing maintenance station delay,departing maintenance station delay,departing maintenance station delay,rsa,,departing maintenance station delay,failure,Not Secure
2208,0,12.04,0.41,59.46,99.59,delay train train arriving arriving departing station,delay train train arriving arriving departing station,delay train train arriving arriving departing station,blowfish,,delay train train arriving arriving departing station,success,Secure
2209,0,8.86,1.78,50.3,98.22,maintenance station arriving maintenance arriving station,maintenance station arriving maintenance arriving station,maintenance station arriving maintenance arriving station,blowfish,,maintenance station arriving maintenance arriving station,success,Secure
2210,0,14.31,0.69,51.2,99.31,delay station train,delay station train,delay station train,rsa,,delay station train,success,Secure
2211,0,11.73,0.78,57.3,99.22,maintenance delay arriving arriving delay maintenance,maintenance delay arriving arriving delay maintenance,maintenance delay arriving arriving delay maintenance,rsa,,maintenance delay arriving arriving delay maintenance,failure,Not Secure
2212,0,9.53,0.56,50.23,99.44,station arriving arriving maintenance train delay,station arriving arriving maintenance train delay,station arriving arriving maintenance train delay,,,station arriving arriving maintenance train delay,failure,Not Secure
2213,0,13.05,0.98,53.97,99.02,arriving train arriving maintenance station station train,arriving train arriving maintenance station station train,arriving train arriving maintenance station station train,,,arriving train arriving maintenance station station train,failure,Not Secure
2214,1,12.78,1.49,51.12,98.51,station departing maintenance delay,station departing mainteyance delay,station departing maintenance delay,blowfish,,station departing maintenance delay,failure,Not Secure
2215,0,7.68,1.19,54.12,98.81,arriving station train departing,arriving station train departing,arriving station train departing,rsa,,arriving station train departing,failure,Not Secure
2216,0,5.98,1.7,55.36,98.3,train train,train train,train train,,,train train,success,Secure
2217,1,7.57,0.77,58.14,99.23,departing maintenance station departing maintenance train,departing maintenance statihn departing maintenance train,departing maintenance station departing maintenance train,blowfish,gaaaaabnlgimj47epydoy,departing maintenance station departing maintenance train,failure,Not Secure
